image_path,csv_path,post_id,day,row_index,category,confidence,second_best,confidence_gap,low_confidence,used_text,scores
/Users/mac/Documents/computerscience/1基于/贵重金属日交易/SocialData/Script/images/金价/2022-01-01/4720964736386523_0.jpg,/Users/mac/Documents/computerscience/1基于/贵重金属日交易/SocialData/Script/output/金价/2022-01-01.csv,4720964736386523,2022-01-01,0,news_screenshot,0.8387051224708557,irrelevant,0.12881922721862793,False,True,"{""technical_chart"": 0.5225825309753418, ""news_screenshot"": 0.8387051224708557, ""gold_bullion"": 0.6221214532852173, ""meme"": 0.6919381022453308, ""irrelevant"": 0.7098858952522278}"
/Users/mac/Documents/computerscience/1基于/贵重金属日交易/SocialData/Script/images/金价/2022-01-01/4720964736386523_1.jpg,/Users/mac/Documents/computerscience/1基于/贵重金属日交易/SocialData/Script/output/金价/2022-01-01.csv,4720964736386523,2022-01-01,0,news_screenshot,0.8463165760040283,meme,0.16612893342971802,False,True,"{""technical_chart"": 0.6607260704040527, ""news_screenshot"": 0.8463165760040283, ""gold_bullion"": 0.5487744808197021, ""meme"": 0.6801876425743103, ""irrelevant"": 0.6651108264923096}"
/Users/mac/Documents/computerscience/1基于/贵重金属日交易/SocialData/Script/images/金价/2022-01-01/4720964736386523_2.jpg,/Users/mac/Documents/computerscience/1基于/贵重金属日交易/SocialData/Script/output/金价/2022-01-01.csv,4720964736386523,2022-01-01,0,news_screenshot,0.884575605392456,meme,0.14355266094207764,False,True,"{""technical_chart"": 0.5647134780883789, ""news_screenshot"": 0.884575605392456, ""gold_bullion"": 0.5632676482200623, ""meme"": 0.7410229444503784, ""irrelevant"": 0.6991896033287048}"
/Users/mac/Documents/computerscience/1基于/贵重金属日交易/SocialData/Script/images/金价/2022-01-01/4720964736386523_3.jpg,/Users/mac/Documents/computerscience/1基于/贵重金属日交易/SocialData/Script/output/金价/2022-01-01.csv,4720964736386523,2022-01-01,0,news_screenshot,0.8802881240844727,meme,0.16349834203720093,False,True,"{""technical_chart"": 0.6302717924118042, ""news_screenshot"": 0.8802881240844727, ""gold_bullion"": 0.5521782636642456, ""meme"": 0.7167897820472717, ""irrelevant"": 0.6922542452812195}"
/Users/mac/Documents/computerscience/1基于/贵重金属日交易/SocialData/Script/images/金价/2022-01-01/4720964736386523_4.jpg,/Users/mac/Documents/computerscience/1基于/贵重金属日交易/SocialData/Script/output/金价/2022-01-01.csv,4720964736386523,2022-01-01,0,news_screenshot,0.8767690062522888,meme,0.13976353406906128,False,True,"{""technical_chart"": 0.567910373210907, ""news_screenshot"": 0.8767690062522888, ""gold_bullion"": 0.5892093777656555, ""meme"": 0.7370054721832275, ""irrelevant"": 0.7151896953582764}"
/Users/mac/Documents/computerscience/1基于/贵重金属日交易/SocialData/Script/images/金价/2022-01-01/4720964736386523_5.jpg,/Users/mac/Documents/computerscience/1基于/贵重金属日交易/SocialData/Script/output/金价/2022-01-01.csv,4720964736386523,2022-01-01,0,news_screenshot,0.8669497966766357,meme,0.16152864694595337,False,True,"{""technical_chart"": 0.5777679681777954, ""news_screenshot"": 0.8669497966766357, ""gold_bullion"": 0.5726284384727478, ""meme"": 0.7054211497306824, ""irrelevant"": 0.6797630190849304}"
/Users/mac/Documents/computerscience/1基于/贵重金属日交易/SocialData/Script/images/金价/2022-01-01/4720964736386523_6.jpg,/Users/mac/Documents/computerscience/1基于/贵重金属日交易/SocialData/Script/output/金价/2022-01-01.csv,4720964736386523,2022-01-01,0,news_screenshot,0.8453697562217712,meme,0.1435701847076416,False,True,"{""technical_chart"": 0.5706340074539185, ""news_screenshot"": 0.8453697562217712, ""gold_bullion"": 0.5410542488098145, ""meme"": 0.7017995715141296, ""irrelevant"": 0.6931003332138062}"
/Users/mac/Documents/computerscience/1基于/贵重金属日交易/SocialData/Script/images/金价/2022-01-01/4720964736386523_7.jpg,/Users/mac/Documents/computerscience/1基于/贵重金属日交易/SocialData/Script/output/金价/2022-01-01.csv,4720964736386523,2022-01-01,0,news_screenshot,0.8435052037239075,meme,0.14406251907348633,False,True,"{""technical_chart"": 0.58063805103302, ""news_screenshot"": 0.8435052037239075, ""gold_bullion"": 0.5838476419448853, ""meme"": 0.6994426846504211, ""irrelevant"": 0.6776131987571716}"
/Users/mac/Documents/computerscience/1基于/贵重金属日交易/SocialData/Script/images/金价/2022-01-01/4720964736386523_8.jpg,/Users/mac/Documents/computerscience/1基于/贵重金属日交易/SocialData/Script/output/金价/2022-01-01.csv,4720964736386523,2022-01-01,0,news_screenshot,0.8644150495529175,irrelevant,0.11494719982147217,False,True,"{""technical_chart"": 0.5816330909729004, ""news_screenshot"": 0.8644150495529175, ""gold_bullion"": 0.6317130327224731, ""meme"": 0.7315780520439148, ""irrelevant"": 0.7494678497314453}"
/Users/mac/Documents/computerscience/1基于/贵重金属日交易/SocialData/Script/images/金价/2022-01-01/L8NfI1OI6_0.jpg,/Users/mac/Documents/computerscience/1基于/贵重金属日交易/SocialData/Script/output/金价/2022-01-01.csv,L8NfI1OI6,2022-01-01,1,irrelevant,0.7946726679801941,meme,0.09857410192489624,False,True,"{""technical_chart"": 0.5213149189949036, ""news_screenshot"": 0.5947806239128113, ""gold_bullion"": 0.5766053199768066, ""meme"": 0.6960985660552979, ""irrelevant"": 0.7946726679801941}"
/Users/mac/Documents/computerscience/1基于/贵重金属日交易/SocialData/Script/images/金价/2022-01-01/L8NfI1OI6_1.jpg,/Users/mac/Documents/computerscience/1基于/贵重金属日交易/SocialData/Script/output/金价/2022-01-01.csv,L8NfI1OI6,2022-01-01,1,irrelevant,0.8499754071235657,meme,0.10969352722167969,False,True,"{""technical_chart"": 0.6143772006034851, ""news_screenshot"": 0.7003312110900879, ""gold_bullion"": 0.6997486352920532, ""meme"": 0.740281879901886, ""irrelevant"": 0.8499754071235657}"
